#,ChatRm,Date,ID,Time,Comment,,,
624,2 MEB,14-Mar-2014,2meb fso,10:23,(en) Shot NSFS TFT EN SQD AT 56867 58704,,,
633,2 MEB,14-Mar-2014,10mc cdr,10:26,(en) ASSIGN CEDAR 05 AND FLIGHT; EXPEND 25% ORDNANCE LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO-610 LINE 2: TGT GRID: 12SWG 56040 59416 LINE 3: TGT DESC: UAZ-469 UAV/UAS COMMAND & CONTROL VANS WITH VEHICLES.. LINE 4: JTAC C/S: TORNADO 14. REPORT BDA. LINE 5: TOT: 1135 TIME NOW: 1124,,,
706,2 MEB,14-Mar-2014,10mc_cdr,10:46,(en) ASSIGN ELM 05 AND FLIGHT; EXPEND 25% ORDNANCE LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO-612 LINE 2: TGT GRID: 125WG 62666 74021 LINE 3: TGT DESC: SORAS-6 COMMAND & CONTROL SYSTEM LINE 4: JTAC C/S: TORNADO 14. REPORT BDA. LINE 5: TOT: 1150 TIME NOW: 1142,,,
708,2 MEB,14-Mar-2014,10mc_cdr,10:47,(en) ASSIGN SHAKER 07 AND FLIGHT; EXPEND 25% ORDNANCE LINE 1: CAS MISSION REQUEST NUMBER: 14-TORNADO-614 LINE 2: TGT GRID: 12SWG 62682 73931 LINE 3: TOT DESC: UAZ COMMAND & CONTROL SYSTEM LINE 4: JTAC C/S: TORNADO 14. REPORT BOA. LINE 5: TOT: 1155 TIME NOW: 1144,,,
716,2 MEB,14-Mar-2014,Icc_7 jagic_sad,10:51,"(en) CFF: JSOTF #13/DET 13,TACP11, 12SWG 54170 76009 / 2 enemy vehicles on road going north,",,,
717,2 MEB,14-Mar-2014,Icci_jagic_sad,10:51,"(en) CFF: JSOTF #13/DET 13,TACP11, 12SWG 54170 76009 / 2 enemy vehicles on road going north,",,,
721,2 MEB,14-Mar-2014,Icc_7_jagic_sad,10:52,(en) CFF JSOTF #13 is in the AOA,,,
722,2 MEB,14-Mar-2014,2meb_fso,10:52,"(en) Shot: 12SWG 54170 76009 / 2 enemy vehicles on road going north,",,,
723,2 MEB,14-Mar-2014,2meb_fso,10:52,"(en) Shot NSFS: 12SWG 54170 76009 / 2 enemy vehicles on road going north,",,,
738,2 MEB,14-Mar-2014,10mc_cdr,10:57,(en) MAVERICK 55: WE HAVE SOME ISSUE WITH JTF CUTTING AIRSPACE COORDINATION AREAS THROUGH OUR AO (WE UNDERSTAND THAT HAVE HAVE FROM SURFACE TO 14K MSL).,,,
763,2 MEB,14-Mar-2014,macc_depcdr,11:06,(en) are you able to prosecute your fire missions independently now?,,,
764,2 MEB,14-Mar-2014,2meh fso,11:06,(en) Yes,,,
766,2 MEB,14-Mar-2014,macc_depcdr,11:07,(en) no interference from 70 IV fires correct?,,,
777,2 MEB,14-Mar-2014,10mc_cdr,11:10,"(en) RHINO 14 COPIES STATUS OF ELM 05, MOVER 57; RELIEF CAS ACFT CEDAR 07 AND ELM 07. ALSO COPY STATUS OF COWBOY 01 ON A HIGHER PRIORITY MISSION AT SEAD EAST.",,,
783,2 MEB,14-Mar-2014,2meb_helo_sqdn_cdr,11:13,(en) TF Hammer: Comm check,,,
794,2 MEB,14-Mar-2014,2meb s3,11:14,"(en) All LCAC's are F/W inbound to the beaches. XVIII ABC is a GO for the airborne assault, although enemy ADA, armor, arty & maneuver conditions are a NO GO",,,
